sim_timestamp,optimizer_time,optimizer_cost,optimizer_iterations,optimizer_success,optimizer_status,optimizer_message,optimizer_nfev,current_speed_mps,target_speed_mps,current_steer_angle_rad,target_steer_angle_rad,target_steer_rate_rps,optimal_steer_rate_cmd,optimal_accel_cmd,applied_throttle,applied_brake,applied_steer
4.072,0.0065,0.0000,1,True,0,Optimization terminated successfully,21,1.711,1.711,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.118,0.0059,0.0000,1,True,0,Optimization terminated successfully,21,1.994,1.994,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.145,0.0058,0.0000,1,True,0,Optimization terminated successfully,21,2.205,2.205,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.174,0.0062,0.0000,1,True,0,Optimization terminated successfully,21,2.403,2.403,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.204,0.0075,0.0000,1,True,0,Optimization terminated successfully,21,2.600,2.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.237,0.0058,0.0000,1,True,0,Optimization terminated successfully,21,2.603,2.603,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.272,0.0057,0.0000,1,True,0,Optimization terminated successfully,21,2.300,2.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.301,0.0059,0.0000,1,True,0,Optimization terminated successfully,21,1.943,1.943,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.329,0.0057,0.0000,1,True,0,Optimization terminated successfully,21,1.612,1.612,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.357,0.0076,0.0000,1,True,0,Optimization terminated successfully,21,1.326,1.326,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.371,0.0057,0.0000,1,True,0,Optimization terminated successfully,21,1.038,1.038,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.414,0.0057,0.0000,1,True,0,Optimization terminated successfully,21,0.794,0.794,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.443,0.0058,0.0000,1,True,0,Optimization terminated successfully,21,0.592,0.592,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.472,0.0058,0.0000,1,True,0,Optimization terminated successfully,21,0.432,0.432,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.503,0.0057,0.0000,1,True,0,Optimization terminated successfully,21,0.315,0.315,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.534,0.0059,0.0000,1,True,0,Optimization terminated successfully,21,0.244,0.244,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.549,0.0060,0.0000,1,True,0,Optimization terminated successfully,21,0.212,0.212,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.596,0.0057,0.0000,1,True,0,Optimization terminated successfully,21,0.197,0.197,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.626,0.0066,0.0000,1,True,0,Optimization terminated successfully,21,0.188,0.188,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.655,0.0057,0.0000,1,True,0,Optimization terminated successfully,21,0.177,0.177,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.685,0.0060,0.0000,1,True,0,Optimization terminated successfully,21,0.161,0.161,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.715,0.0057,0.0000,1,True,0,Optimization terminated successfully,21,0.142,0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.745,0.0059,0.0000,1,True,0,Optimization terminated successfully,21,0.123,0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.776,0.0076,0.0000,1,True,0,Optimization terminated successfully,21,0.105,0.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.805,0.0083,0.0000,1,True,0,Optimization terminated successfully,21,0.088,0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.819,0.0255,0.0057,3,True,0,Optimization terminated successfully,65,0.073,0.073,0.000,0.000,-0.056,-0.013,-0.000,0.000,0.000,-0.001
4.862,0.0179,0.0067,2,True,0,Optimization terminated successfully,45,0.061,0.061,0.000,0.000,-0.062,-0.025,0.000,0.000,0.000,-0.001
4.894,0.0161,0.0086,2,True,0,Optimization terminated successfully,45,0.050,0.050,-0.000,0.000,-0.070,-0.028,-0.000,0.000,0.000,-0.001
4.929,0.0187,0.0143,3,True,0,Optimization terminated successfully,65,0.040,0.040,-0.000,0.000,-0.090,-0.037,0.000,0.000,0.000,-0.002
4.959,0.0148,0.0107,2,True,0,Optimization terminated successfully,45,0.033,0.033,-0.001,0.004,-0.071,-0.026,-0.000,0.000,0.000,-0.002
4.989,0.0190,0.0476,3,True,0,Optimization terminated successfully,67,0.027,0.027,-0.001,0.054,-0.030,0.026,-0.000,0.000,0.000,0.000
5.020,0.0315,0.1221,5,True,0,Optimization terminated successfully,110,0.021,0.021,-0.001,0.098,0.000,0.061,-0.000,0.000,0.000,0.002
5.050,0.0257,0.2167,4,True,0,Optimization terminated successfully,88,0.017,0.017,-0.001,0.138,0.039,0.101,0.001,0.000,0.000,0.003
5.081,0.0144,0.2231,2,True,0,Optimization terminated successfully,45,0.014,0.014,-0.000,0.142,0.054,0.108,-0.002,0.000,0.000,0.004
5.096,0.0190,0.1721,3,True,0,Optimization terminated successfully,67,0.011,0.011,0.000,0.127,0.056,0.101,0.002,0.000,0.000,0.004
5.141,0.0172,0.1570,2,True,0,Optimization terminated successfully,45,0.009,0.009,0.001,0.122,0.047,0.096,0.001,0.000,0.000,0.005
5.155,0.0217,0.1024,3,True,0,Optimization terminated successfully,67,0.007,0.007,0.002,0.096,0.020,0.066,-0.000,0.000,0.000,0.005
5.186,0.0165,0.0750,2,True,0,Optimization terminated successfully,45,0.006,0.006,0.003,0.082,0.006,0.051,-0.000,0.000,0.000,0.005
5.216,0.0131,0.0560,2,True,0,Optimization terminated successfully,45,0.005,0.005,0.004,0.071,0.000,0.042,0.000,0.000,0.000,0.005
5.261,0.0065,0.0550,1,True,0,Optimization terminated successfully,23,0.004,0.004,0.004,0.071,0.000,0.044,0.001,0.000,0.000,0.005
5.276,0.0065,0.0543,1,True,0,Optimization terminated successfully,23,0.003,0.003,0.005,0.071,0.000,0.044,0.001,0.000,0.000,0.006
5.326,0.0069,0.0627,1,True,0,Optimization terminated successfully,23,0.002,0.002,0.006,0.076,0.000,0.046,0.002,0.000,0.000,0.006
5.356,0.0190,0.0746,3,True,0,Optimization terminated successfully,67,0.002,0.002,0.006,0.083,0.000,0.047,-0.001,0.000,0.000,0.007
5.385,0.0062,0.0793,1,True,0,Optimization terminated successfully,23,0.002,0.002,0.006,0.087,0.005,0.050,-0.001,0.000,0.000,0.007
5.415,0.0064,0.0788,1,True,0,Optimization terminated successfully,23,0.001,0.001,0.007,0.087,0.005,0.058,0.001,0.000,0.000,0.008
5.443,0.0203,0.0731,3,True,0,Optimization terminated successfully,67,0.001,0.001,0.007,0.086,0.010,0.052,-0.001,0.000,0.000,0.008
5.474,0.0064,0.0588,1,True,0,Optimization terminated successfully,23,0.001,0.001,0.008,0.079,0.014,0.052,-0.001,0.000,0.000,0.009
5.505,0.0066,0.0373,1,True,0,Optimization terminated successfully,23,0.001,0.001,0.008,0.065,0.013,0.051,0.000,0.000,0.000,0.009
5.533,0.0128,0.0227,2,True,0,Optimization terminated successfully,45,0.001,0.001,0.009,0.052,0.004,0.028,-0.000,0.000,0.000,0.008
5.562,0.0302,1726.3272,5,True,0,Optimization terminated successfully,106,0.001,13.889,0.009,0.040,0.000,0.021,3.000,1.000,0.000,0.009
5.593,0.0241,1726.3362,4,True,0,Optimization terminated successfully,87,0.001,13.889,0.010,0.039,0.000,0.020,3.000,1.000,0.000,0.009
